"","cluster","nei","min_d","ncom","name","value"
"184",2,5,0,3,"sil",0.386803036605141
"185",2,5,0,3,"db",1.12450241943896
"186",2,5,0,3,"ch",1209.64104543354
"187",3,5,0,3,"sil",0.550169745752159
"188",3,5,0,3,"db",0.662975811408224
"189",3,5,0,3,"ch",2062.44753495314
"190",4,5,0,3,"sil",0.56944438207516
"191",4,5,0,3,"db",0.708957059162257
"192",4,5,0,3,"ch",2329.80367024043
"193",5,5,0,3,"sil",0.535163088225286
"194",5,5,0,3,"db",0.5811744154744
"195",5,5,0,3,"ch",2987.86615963679
"196",6,5,0,3,"sil",0.476827804710323
"197",6,5,0,3,"db",0.757083652898268
"198",6,5,0,3,"ch",3055.59978000812
"199",7,5,0,3,"sil",0.437146958647883
"200",7,5,0,3,"db",0.695580097700694
"201",7,5,0,3,"ch",3146.65349497046
"202",8,5,0,3,"sil",0.491245502621911
"203",8,5,0,3,"db",0.716910603844332
"204",8,5,0,3,"ch",3370.07787448062
"205",9,5,0,3,"sil",0.446898380076099
"206",9,5,0,3,"db",0.720915124808919
"207",9,5,0,3,"ch",3431.17472120057
"208",10,5,0,3,"sil",0.415541388907754
"209",10,5,0,3,"db",0.775513970199394
"210",10,5,0,3,"ch",3497.810146466
"211",1,5,0.1,3,"sil",0
"212",1,5,0.1,3,"db",0
"213",1,5,0.1,3,"ch",0
"214",2,5,0.1,3,"sil",0.404150556912173
"215",2,5,0.1,3,"db",0.962310525661709
"216",2,5,0.1,3,"ch",1128.45505985029
"217",3,5,0.1,3,"sil",0.410625080380756
"218",3,5,0.1,3,"db",0.931975185707128
"219",3,5,0.1,3,"ch",1393.439663141
"220",4,5,0.1,3,"sil",0.427761149534192
"221",4,5,0.1,3,"db",0.877993187637386
"222",4,5,0.1,3,"ch",1640.29893405549
"223",5,5,0.1,3,"sil",0.414860412965502
"224",5,5,0.1,3,"db",0.777433618230041
"225",5,5,0.1,3,"ch",1640.59561383876
"226",6,5,0.1,3,"sil",0.385313587353735
"227",6,5,0.1,3,"db",0.796219045162713
"228",6,5,0.1,3,"ch",1754.50725484907
"229",7,5,0.1,3,"sil",0.373662964946532
"230",7,5,0.1,3,"db",0.751810068383645
"231",7,5,0.1,3,"ch",1910.93946092358
"232",8,5,0.1,3,"sil",0.420141198226643
"233",8,5,0.1,3,"db",0.805783899392891
"234",8,5,0.1,3,"ch",1904.34352362465
"235",9,5,0.1,3,"sil",0.390664244618097
"236",9,5,0.1,3,"db",0.751427159116329
"237",9,5,0.1,3,"ch",1972.70519419031
"238",10,5,0.1,3,"sil",0.355649767055903
"239",10,5,0.1,3,"db",0.805340736336719
"240",10,5,0.1,3,"ch",1989.07409496403
"241",1,5,0.25,3,"sil",0
"242",1,5,0.25,3,"db",0
"243",1,5,0.25,3,"ch",0
"244",2,5,0.25,3,"sil",0.365079686303468
"245",2,5,0.25,3,"db",1.14188345706352
"246",2,5,0.25,3,"ch",1284.06917063223
"247",3,5,0.25,3,"sil",0.335175974172797
"248",3,5,0.25,3,"db",1.11629344904783
"249",3,5,0.25,3,"ch",1240.98331133952
"250",4,5,0.25,3,"sil",0.380562312750509
"251",4,5,0.25,3,"db",0.951567159913448
"252",4,5,0.25,3,"ch",1461.71577931881
"253",5,5,0.25,3,"sil",0.387602312630188
"254",5,5,0.25,3,"db",0.94589456330215
"255",5,5,0.25,3,"ch",1492.42623179529
"256",6,5,0.25,3,"sil",0.397928290379703
"257",6,5,0.25,3,"db",0.904559600369153
"258",6,5,0.25,3,"ch",1455.9441221384
"259",7,5,0.25,3,"sil",0.35350061231243
"260",7,5,0.25,3,"db",0.842407325145722
"261",7,5,0.25,3,"ch",1439.1253959231
"262",8,5,0.25,3,"sil",0.367596958360971
"263",8,5,0.25,3,"db",0.879726425526912
"264",8,5,0.25,3,"ch",1424.32681741009
"265",9,5,0.25,3,"sil",0.319877318971241
"266",9,5,0.25,3,"db",0.851886337284873
"267",9,5,0.25,3,"ch",1428.32257006847
"268",10,5,0.25,3,"sil",0.314427114131306
"269",10,5,0.25,3,"db",0.899871465249952
"270",10,5,0.25,3,"ch",1419.35753625739
"271",1,5,0.5,3,"sil",0
"272",1,5,0.5,3,"db",0
"273",1,5,0.5,3,"ch",0
"274",2,5,0.5,3,"sil",0.266450199534473
"275",2,5,0.5,3,"db",1.41489071445923
"276",2,5,0.5,3,"ch",764.635018834254
"277",3,5,0.5,3,"sil",0.328709494164091
"278",3,5,0.5,3,"db",1.17586807192588
"279",3,5,0.5,3,"ch",942.228669144729
"280",4,5,0.5,3,"sil",0.346426995542676
"281",4,5,0.5,3,"db",0.967361756099481
"282",4,5,0.5,3,"ch",1078.65456821237
"283",5,5,0.5,3,"sil",0.335905875785523
"284",5,5,0.5,3,"db",1.05296778001535
"285",5,5,0.5,3,"ch",1058.12745245562
"286",6,5,0.5,3,"sil",0.323583888663302
"287",6,5,0.5,3,"db",1.06077669188279
"288",6,5,0.5,3,"ch",1030.19050116617
"289",7,5,0.5,3,"sil",0.334025153441952
"290",7,5,0.5,3,"db",1.00390890016717
"291",7,5,0.5,3,"ch",1033.91131233376
"292",8,5,0.5,3,"sil",0.326315034065891
"293",8,5,0.5,3,"db",1.04522919210077
"294",8,5,0.5,3,"ch",980.270067457226
"295",9,5,0.5,3,"sil",0.294609812118124
"296",9,5,0.5,3,"db",1.04687410394786
"297",9,5,0.5,3,"ch",952.986279640308
"298",10,5,0.5,3,"sil",0.289124564113126
"299",10,5,0.5,3,"db",1.01546785281314
"300",10,5,0.5,3,"ch",931.965065273538
"301",1,5,0.8,3,"sil",0
"302",1,5,0.8,3,"db",0
"303",1,5,0.8,3,"ch",0
"304",2,5,0.8,3,"sil",0.257452927792408
"305",2,5,0.8,3,"db",1.53726305221993
"306",2,5,0.8,3,"ch",691.070802966973
"307",3,5,0.8,3,"sil",0.300601697405841
"308",3,5,0.8,3,"db",1.2248534209017
"309",3,5,0.8,3,"ch",848.07283455092
"310",4,5,0.8,3,"sil",0.317904310727834
"311",4,5,0.8,3,"db",0.999904468791059
"312",4,5,0.8,3,"ch",958.8530451229
"313",5,5,0.8,3,"sil",0.31023449734113
"314",5,5,0.8,3,"db",1.06237261774851
"315",5,5,0.8,3,"ch",956.067940297371
"316",6,5,0.8,3,"sil",0.298985565532625
"317",6,5,0.8,3,"db",1.10872516997355
"318",6,5,0.8,3,"ch",915.651083470708
"319",7,5,0.8,3,"sil",0.277305245541501
"320",7,5,0.8,3,"db",1.08949515405338
"321",7,5,0.8,3,"ch",890.861217806283
"322",8,5,0.8,3,"sil",0.291989425962347
"323",8,5,0.8,3,"db",1.09092711806649
"324",8,5,0.8,3,"ch",851.409789298819
"325",9,5,0.8,3,"sil",0.289739312240994
"326",9,5,0.8,3,"db",1.08252430450835
"327",9,5,0.8,3,"ch",826.516497139745
"328",10,5,0.8,3,"sil",0.284826609823082
"329",10,5,0.8,3,"db",1.11972371716223
"330",10,5,0.8,3,"ch",813.705449564275
"331",1,5,0.99,3,"sil",0
"332",1,5,0.99,3,"db",0
"333",1,5,0.99,3,"ch",0
"334",2,5,0.99,3,"sil",0.262948414288845
"335",2,5,0.99,3,"db",1.43664179559004
"336",2,5,0.99,3,"ch",774.113803613221
"337",3,5,0.99,3,"sil",0.288077232365603
"338",3,5,0.99,3,"db",1.2333329190659
"339",3,5,0.99,3,"ch",864.77477214688
"340",4,5,0.99,3,"sil",0.306657838237737
"341",4,5,0.99,3,"db",1.06524119724072
"342",4,5,0.99,3,"ch",928.606668154941
"343",5,5,0.99,3,"sil",0.301790354965783
"344",5,5,0.99,3,"db",1.07050023305963
"345",5,5,0.99,3,"ch",914.26652950303
"346",6,5,0.99,3,"sil",0.285384751725213
"347",6,5,0.99,3,"db",1.09806088545651
"348",6,5,0.99,3,"ch",875.582709842838
"349",7,5,0.99,3,"sil",0.286646211941373
"350",7,5,0.99,3,"db",1.0754100000254
"351",7,5,0.99,3,"ch",852.450306686363
"352",8,5,0.99,3,"sil",0.280684587796244
"353",8,5,0.99,3,"db",1.04175832724581
"354",8,5,0.99,3,"ch",826.37406784617
"355",9,5,0.99,3,"sil",0.281638102332021
"356",9,5,0.99,3,"db",1.03876962851621
"357",9,5,0.99,3,"ch",803.336807668725
"358",10,5,0.99,3,"sil",0.275792225145106
"359",10,5,0.99,3,"db",1.08603025371638
"360",10,5,0.99,3,"ch",789.876305847863
"361",1,10,0,3,"sil",0
"362",1,10,0,3,"db",0
"363",1,10,0,3,"ch",0
"364",2,10,0,3,"sil",0.460669746834997
"365",2,10,0,3,"db",0.605061716601957
"366",2,10,0,3,"ch",1409.74032092841
"367",3,10,0,3,"sil",0.57526367529208
"368",3,10,0,3,"db",0.594241855033387
"369",3,10,0,3,"ch",3102.68406575117
"370",4,10,0,3,"sil",0.506339109238364
"371",4,10,0,3,"db",0.757514321525874
"372",4,10,0,3,"ch",3488.88954430233
"373",5,10,0,3,"sil",0.456407565813229
"374",5,10,0,3,"db",0.852443290537581
"375",5,10,0,3,"ch",3367.80794426918
"376",6,10,0,3,"sil",0.44750744831127
"377",6,10,0,3,"db",0.878040630230495
"378",6,10,0,3,"ch",3215.8623444104
"379",7,10,0,3,"sil",0.408405941430038
"380",7,10,0,3,"db",0.806359811335648
"381",7,10,0,3,"ch",3237.54840954957
"382",8,10,0,3,"sil",0.454304693786679
"383",8,10,0,3,"db",0.827481116867668
"384",8,10,0,3,"ch",3285.86456823674
"385",9,10,0,3,"sil",0.40717584321896
"386",9,10,0,3,"db",0.742570008039995
"387",9,10,0,3,"ch",3372.33888109048
"388",10,10,0,3,"sil",0.383745922716873
"389",10,10,0,3,"db",0.81141227130445
"390",10,10,0,3,"ch",3478.37419467214
"391",1,10,0.1,3,"sil",0
"392",1,10,0.1,3,"db",0
"393",1,10,0.1,3,"ch",0
"394",2,10,0.1,3,"sil",0.399750560113087
"395",2,10,0.1,3,"db",1.02805870583041
"396",2,10,0.1,3,"ch",1573.53587098971
"397",3,10,0.1,3,"sil",0.498489776786229
"398",3,10,0.1,3,"db",0.715517104691785
"399",3,10,0.1,3,"ch",2055.26341563726
"400",4,10,0.1,3,"sil",0.491349378897159
"401",4,10,0.1,3,"db",0.754908368972597
"402",4,10,0.1,3,"ch",2651.21691941956
"403",5,10,0.1,3,"sil",0.443754500291318
"404",5,10,0.1,3,"db",0.911459290736498
